Source,Target
"A_View_to_a_Kill(3)","Goldfinger(1)"
"A_View_to_a_Kill(3)","Licence_to_Kill(4)"
"A_View_to_a_Kill(3)","Live_and_Let_Die(3)"
"A_View_to_a_Kill(3)","Moonraker(3)"
"A_View_to_a_Kill(3)","Octopussy(3)"
"A_View_to_a_Kill(3)","Quantum_of_Solace(6)"
"A_View_to_a_Kill(3)","Skyfall(6)"
"A_View_to_a_Kill(3)","The _Spy_Who_Loved_Me(3)"
"A_View_to_a_Kill(3)","Tomorrow_Never_Dies(5)"
"A_View_to_a_Kill(3)","You_only_live_twice(1)"
"Casino_Royale(6)","Diamonds_Are_Forever(1)"
"Casino_Royale(6)","Dr. No(1)"
"Casino_Royale(6)","For_Your_Eyes_Only(3)"
"Casino_Royale(6)","From_Russia_with_Love(1)"
"Casino_Royale(6)","GoldenEye(5)"
"Casino_Royale(6)","Goldfinger(1)"
"Casino_Royale(6)","Licence_to_Kill(4)"
"Casino_Royale(6)","Live_and_Let_Die(3)"
"Casino_Royale(6)","Moonraker(3)"
"Casino_Royale(6)","On_Her_Majesty's_Secret_Service(2)"
"Casino_Royale(6)","Quantum_of_Solace(6)"
"Casino_Royale(6)","Skyfall(6)"
"Casino_Royale(6)","Specture(6)"
"Casino_Royale(6)","The _Spy_Who_Loved_Me(3)"
"Casino_Royale(6)","The_Man_with_the_Golden_Gun(3)"
"Casino_Royale(6)","The_World_Is_Not_Enough(5)"
"Casino_Royale(6)","You_only_live_twice(1)"
"Diamonds_Are_Forever(1)","Dr. No(1)"
"Diamonds_Are_Forever(1)","For_Your_Eyes_Only(3)"
"Diamonds_Are_Forever(1)","From_Russia_with_Love(1)"
"Diamonds_Are_Forever(1)","GoldenEye(5)"
"Diamonds_Are_Forever(1)","Goldfinger(1)"
"Diamonds_Are_Forever(1)","Licence_to_Kill(4)"
"Diamonds_Are_Forever(1)","Live_and_Let_Die(3)"
"Diamonds_Are_Forever(1)","Moonraker(3)"
"Diamonds_Are_Forever(1)","On_Her_Majesty's_Secret_Service(2)"
"Diamonds_Are_Forever(1)","Quantum_of_Solace(6)"
"Diamonds_Are_Forever(1)","Skyfall(6)"
"Diamonds_Are_Forever(1)","The _Spy_Who_Loved_Me(3)"
"Diamonds_Are_Forever(1)","The_Living_Daylights(4)"
"Diamonds_Are_Forever(1)","The_Man_with_the_Golden_Gun(3)"
"Diamonds_Are_Forever(1)","The_World_Is_Not_Enough(5)"
"Diamonds_Are_Forever(1)","Thunderball(1)"
"Diamonds_Are_Forever(1)","Tomorrow_Never_Dies(5)"
"Diamonds_Are_Forever(1)","You_only_live_twice(1)"
"Die_Another_Day(5)","From_Russia_with_Love(1)"
